instance_id,seed,block_size,method,candidate_budget,found_improvement,best_improvement,improving_probability,global_or_near_optimum_probability,relative_exact_gap
seed003_pair1_B2_w10,3,10,Exact,128,True,1.0626824514160944,0.0703125,0.09375,0.0
seed003_pair1_B2_w10,3,10,Ideal QAOA p=1,128,True,0.08212787280479006,0.0078125,0.0078125,0.9227164495891041
seed003_pair1_B2_w10,3,10,Ideal QAOA p=2,128,False,0.0,0.0,0.0,1.0
seed003_pair1_B2_w10,3,10,Ideal QAOA p=3,128,False,0.0,0.0,0.0,1.0
seed003_pair1_B2_w10,3,10,单点局部搜索,256,False,0.0,0.0,0.09375,1.0
seed003_pair1_B2_w10,3,10,多起点局部搜索,256,True,1.0626824514160944,0.07421875,0.08203125,0.0
seed003_pair1_B2_w10,3,10,模拟退火,256,False,0.0,0.0,0.10546875,1.0
seed003_pair1_B2_w10,3,10,Random,256,False,0.0,0.0,0.0,1.0
seed003_pair1_B2_w10,3,10,Exact,256,True,1.0626824514160944,0.03515625,0.046875,0.0
seed003_pair1_B2_w10,3,10,Ideal QAOA p=1,256,False,0.0,0.0,0.00390625,1.0
seed003_pair1_B2_w10,3,10,Ideal QAOA p=2,256,True,0.925775550116029,0.00390625,0.00390625,0.12883143136280079
seed003_pair1_B2_w10,3,10,Ideal QAOA p=3,256,False,0.0,0.0,0.0,1.0
seed003_pair1_B3_w12,3,12,单点局部搜索,32,False,0.0,0.0,0.09375,1.0
seed003_pair1_B3_w12,3,12,多起点局部搜索,32,True,0.925775550116029,0.03125,0.03125,0.12883143136280079
seed003_pair1_B3_w12,3,12,模拟退火,32,False,0.0,0.0,1.0,1.0
seed003_pair1_B3_w12,3,12,Random,32,False,0.0,0.0,0.0,1.0
seed003_pair1_B3_w12,3,12,Exact,32,True,1.0626824514160944,0.53125,0.84375,0.0
seed003_pair1_B3_w12,3,12,Ideal QAOA p=1,32,False,0.0,0.0,0.0,1.0
seed003_pair1_B3_w12,3,12,Ideal QAOA p=2,32,False,0.0,0.0,0.0,1.0
seed003_pair1_B3_w12,3,12,Ideal QAOA p=3,32,False,0.0,0.0,0.0,1.0
seed003_pair1_B3_w12,3,12,单点局部搜索,64,False,0.0,0.0,0.078125,1.0
seed003_pair1_B3_w12,3,12,多起点局部搜索,64,True,0.9746483855933405,0.09375,0.09375,0.08284136592774508
seed003_pair1_B3_w12,3,12,模拟退火,64,False,0.0,0.0,1.0,1.0
seed003_pair1_B3_w12,3,12,Random,64,False,0.0,0.0,0.0,1.0
seed003_pair1_B3_w12,3,12,Exact,64,True,1.0626824514160944,0.265625,0.421875,0.0
seed003_pair1_B3_w12,3,12,Ideal QAOA p=1,64,False,0.0,0.0,0.0,1.0
seed003_pair1_B3_w12,3,12,Ideal QAOA p=2,64,False,0.0,0.0,0.0,1.0
seed003_pair1_B3_w12,3,12,Ideal QAOA p=3,64,True,0.5495998254435079,0.015625,0.015625,0.4828183859523323
seed003_pair1_B3_w12,3,12,单点局部搜索,128,False,0.0,0.0,0.078125,1.0
seed003_pair1_B3_w12,3,12,多起点局部搜索,128,True,0.9746483855933405,0.0390625,0.09375,0.08284136592774508
seed003_pair1_B3_w12,3,12,模拟退火,128,False,0.0,0.0,0.0625,1.0
seed003_pair1_B3_w12,3,12,Random,128,False,0.0,0.0,0.0078125,1.0
seed003_pair1_B3_w12,3,12,Exact,128,True,1.0626824514160944,0.1328125,0.2109375,0.0
seed003_pair1_B3_w12,3,12,Ideal QAOA p=1,128,False,0.0,0.0,0.0,1.0
seed003_pair1_B3_w12,3,12,Ideal QAOA p=2,128,False,0.0,0.0,0.0,1.0
seed003_pair1_B3_w12,3,12,Ideal QAOA p=3,128,False,0.0,0.0,0.0078125,1.0
seed003_pair1_B3_w12,3,12,单点局部搜索,256,False,0.0,0.0,0.078125,1.0
seed003_pair1_B3_w12,3,12,多起点局部搜索,256,True,1.0626824514160944,0.05078125,0.0625,0.0
seed003_pair1_B3_w12,3,12,模拟退火,256,False,0.0,0.0,1.0,1.0
seed003_pair1_B3_w12,3,12,Random,256,False,0.0,0.0,0.0,1.0
seed003_pair1_B3_w12,3,12,Exact,256,True,1.0626824514160944,0.06640625,0.10546875,0.0
seed003_pair1_B3_w12,3,12,Ideal QAOA p=1,256,True,1.0626824514160944,0.00390625,0.0078125,0.0
seed003_pair1_B3_w12,3,12,Ideal QAOA p=2,256,False,0.0,0.0,0.0,1.0
seed003_pair1_B3_w12,3,12,Ideal QAOA p=3,256,False,0.0,0.0,0.0,1.0
seed003_pair1_B1_w14,3,14,单点局部搜索,32,False,0.0,0.0,0.09375,1.0
seed003_pair1_B1_w14,3,14,多起点局部搜索,32,True,1.0230183625137812,0.0625,0.0625,0.037324497877478074
seed003_pair1_B1_w14,3,14,模拟退火,32,False,0.0,0.0,1.0,1.0
seed003_pair1_B1_w14,3,14,Random,32,False,0.0,0.0,0.0,1.0
seed003_pair1_B1_w14,3,14,Exact,32,True,1.0626824514160944,0.96875,1.0,0.0
seed003_pair1_B1_w14,3,14,Ideal QAOA p=1,32,False,0.0,0.0,0.0,1.0
seed003_pair1_B1_w14,3,14,Ideal QAOA p=2,32,False,0.0,0.0,0.03125,1.0
seed003_pair1_B1_w14,3,14,Ideal QAOA p=3,32,False,0.0,0.0,0.0,1.0
seed003_pair1_B1_w14,3,14,单点局部搜索,64,False,0.0,0.0,0.078125,1.0
seed003_pair1_B1_w14,3,14,多起点局部搜索,64,True,0.24851874723151468,0.015625,0.046875,0.7661401607786531
seed003_pair1_B1_w14,3,14,模拟退火,64,False,0.0,0.0,1.0,1.0
seed003_pair1_B1_w14,3,14,Random,64,False,0.0,0.0,0.0,1.0
seed003_pair1_B1_w14,3,14,Exact,64,True,1.0626824514160944,0.484375,0.703125,0.0
seed003_pair1_B1_w14,3,14,Ideal QAOA p=1,64,False,0.0,0.0,0.0,1.0
seed003_pair1_B1_w14,3,14,Ideal QAOA p=2,64,False,0.0,0.0,0.0,1.0
seed003_pair1_B1_w14,3,14,Ideal QAOA p=3,64,False,0.0,0.0,0.0,1.0
seed003_pair1_B1_w14,3,14,单点局部搜索,128,False,0.0,0.0,0.0703125,1.0
seed003_pair1_B1_w14,3,14,多起点局部搜索,128,True,1.0230183625137812,0.015625,0.03125,0.037324497877478074
seed003_pair1_B1_w14,3,14,模拟退火,128,False,0.0,0.0,0.0625,1.0
seed003_pair1_B1_w14,3,14,Random,128,True,0.7711201302159338,0.0078125,0.015625,0.27436448283458015
seed003_pair1_B1_w14,3,14,Exact,128,True,1.0626824514160944,0.2421875,0.3515625,0.0
seed003_pair1_B1_w14,3,14,Ideal QAOA p=1,128,False,0.0,0.0,0.0,1.0
seed003_pair1_B1_w14,3,14,Ideal QAOA p=2,128,False,0.0,0.0,0.0,1.0
seed003_pair1_B1_w14,3,14,Ideal QAOA p=3,128,False,0.0,0.0,0.0,1.0
seed003_pair1_B1_w14,3,14,单点局部搜索,256,False,0.0,0.0,0.0703125,1.0
seed003_pair1_B1_w14,3,14,多起点局部搜索,256,True,0.7711201302159338,0.01953125,0.0234375,0.27436448283458015
seed003_pair1_B1_w14,3,14,模拟退火,256,False,0.0,0.0,0.11328125,1.0
seed003_pair1_B1_w14,3,14,Random,256,False,0.0,0.0,0.0,1.0
seed003_pair1_B1_w14,3,14,Exact,256,True,1.0626824514160944,0.12109375,0.17578125,0.0
seed003_pair1_B1_w14,3,14,Ideal QAOA p=1,256,False,0.0,0.0,0.0,1.0
seed003_pair1_B1_w14,3,14,Ideal QAOA p=2,256,False,0.0,0.0,0.00390625,1.0
seed003_pair1_B1_w14,3,14,Ideal QAOA p=3,256,False,0.0,0.0,0.0,1.0
