instance_id,seed,p,stage,noise_scale,status,task_id,shots,low_energy_probability,improving_probability,found_improvement,best_improvement,distribution_entropy,unique_states
seed015_pair1_B1_w8,15,2,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.6880778916047409,0.0011420409362536505,False,0.0,4.749202252595454,137
seed015_pair1_B1_w8,15,2,硬件兼容理想模拟,ideal,SIMULATED,,1024,0.07176854511411414,0.012263494709522848,False,0.0,7.969338476624952,253
seed015_pair1_B1_w8,15,2,带噪声模拟：当前噪声,current,SIMULATED,,1024,0.07727056438440767,0.012129818825796477,False,0.0,7.9804487359761165,249
seed015_pair1_B1_w8,15,2,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.07455033683215163,0.012193567135940346,False,0.0,7.975353281131116,250
seed015_pair1_B1_w8,15,2,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.07316698167361253,0.012227728372759754,False,0.0,7.972468112224027,252
seed015_pair1_B1_w8,15,2,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.07176854511411414,0.012263494709522848,False,0.0,7.969338476624952,253
seed015_pair1_B1_w8,15,2,Baihua 真机,observed,COMPLETED,2608021822316487475,1024,0.0966796875,0.009765625,True,0.19639577136402409,7.668743796981039,243
seed018_pair1_B1_w8,18,1,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.29756206787850986,0.0067221630786824735,False,0.0,7.380384352845903,208
seed018_pair1_B1_w8,18,1,硬件兼容理想模拟,ideal,SIMULATED,,1024,0.12389626306691107,0.013767852079525217,False,0.0,7.9705139162633625,242
seed018_pair1_B1_w8,18,1,带噪声模拟：当前噪声,current,SIMULATED,,1024,0.12127176493304576,0.013433661734612103,False,0.0,7.981225082574456,243
seed018_pair1_B1_w8,18,1,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.12263565398009152,0.013600397936322617,False,0.0,7.976316412965606,250
seed018_pair1_B1_w8,18,1,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.12327911608493702,0.013684039539102513,True,0.30028595658475865,7.973534177904459,244
seed018_pair1_B1_w8,18,1,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.12389626306691107,0.013767852079525217,False,0.0,7.9705139162633625,242
seed018_pair1_B1_w8,18,1,Baihua 真机,observed,COMPLETED,2608021822404570977,1024,0.1259765625,0.01171875,True,0.12838831360964775,7.717014383464207,245
seed018_pair1_B1_w8,18,2,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.6130113348581229,0.006991639686097527,False,0.0,5.941841061520806,125
seed018_pair1_B1_w8,18,2,硬件兼容理想模拟,ideal,SIMULATED,,1024,0.42702184175632557,0.019807394060609364,True,0.30028595658475865,6.761406811998945,167
seed018_pair1_B1_w8,18,2,带噪声模拟：当前噪声,current,SIMULATED,,1024,0.3495631625881743,0.019866366118940174,True,0.30028595658475865,7.250373869889194,202
seed018_pair1_B1_w8,18,2,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.3866841355656833,0.020083172552416914,True,0.30028595658475865,7.035491153174581,187
seed018_pair1_B1_w8,18,2,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.40642891540311615,0.020019495227500753,True,0.30028595658475865,6.907349520007392,187
seed018_pair1_B1_w8,18,2,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.42702184175632557,0.019807394060609364,True,0.30028595658475865,6.761406811998945,167
seed018_pair1_B1_w8,18,2,Baihua 真机,observed,COMPLETED,2608021822494328500,1024,0.1826171875,0.0126953125,False,0.0,7.180991783674977,208
seed019_pair1_B2_w8,19,1,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.12427495824430666,0.010902821496648236,False,0.0,7.957990172855502,245
seed019_pair1_B2_w8,19,1,硬件兼容理想模拟,ideal,SIMULATED,,1024,0.10402009341161261,0.01531960390832865,False,0.0,7.994223793928269,249
seed019_pair1_B2_w8,19,1,带噪声模拟：当前噪声,current,SIMULATED,,1024,0.10357746572396247,0.015433714275694089,False,0.0,7.997009194159737,250
seed019_pair1_B2_w8,19,1,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.10379613765627697,0.015379972334501231,False,0.0,7.995790481514273,249
seed019_pair1_B2_w8,19,1,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.103907445869136,0.015350623174932836,False,0.0,7.99505442863336,251
seed019_pair1_B2_w8,19,1,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.10402009341161261,0.01531960390832865,False,0.0,7.994223793928269,249
seed019_pair1_B2_w8,19,1,Baihua 真机,observed,COMPLETED,2608021832354729697,1024,0.1171875,0.0078125,False,0.0,7.796302276979368,252
seed019_pair1_B2_w8,19,2,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.38662011901362925,0.004860092930679876,False,0.0,6.917685249134191,176
seed019_pair1_B2_w8,19,2,硬件兼容理想模拟,ideal,SIMULATED,,1024,0.09865363269545713,0.014815237990420437,True,0.2627013247218315,7.992585548812734,252
seed019_pair1_B2_w8,19,2,带噪声模拟：当前噪声,current,SIMULATED,,1024,0.09909202226115259,0.015009968863722174,False,0.0,7.996036118731702,252
seed019_pair1_B2_w8,19,2,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.09887208750579823,0.014915365428162722,True,0.2627013247218315,7.994517681681013,252
seed019_pair1_B2_w8,19,2,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.09876269323612032,0.014865981105148212,True,0.2627013247218315,7.993607688801139,252
seed019_pair1_B2_w8,19,2,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.09865363269545713,0.014815237990420437,True,0.2627013247218315,7.992585548812734,252
seed019_pair1_B2_w8,19,2,Baihua 真机,observed,COMPLETED,2608021833222818587,1024,0.1123046875,0.0126953125,False,0.0,7.72009510105747,245
seed024_pair1_B1_w8,24,1,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.31438740969928647,0.06498581642649769,True,0.5982456360489294,7.474568483558924,212
seed024_pair1_B1_w8,24,1,硬件兼容理想模拟,ideal,SIMULATED,,1024,0.1192037973008911,0.03172333862194081,True,0.5933109923330022,7.974668037784978,250
seed024_pair1_B1_w8,24,1,带噪声模拟：当前噪声,current,SIMULATED,,1024,0.11771674347466082,0.031130630518897327,True,0.4699570123566872,7.983576156125879,253
seed024_pair1_B1_w8,24,1,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.11852980205934267,0.03143160979961743,True,0.5933109923330022,7.979469270966645,252
seed024_pair1_B1_w8,24,1,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.11888438681859081,0.03157861784339784,True,0.5933109923330022,7.977160720239528,251
seed024_pair1_B1_w8,24,1,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.1192037973008911,0.03172333862194081,True,0.5933109923330022,7.974668037784978,250
seed024_pair1_B1_w8,24,1,Baihua 真机,observed,COMPLETED,2608021833325128397,1024,0.1494140625,0.0517578125,True,0.5982456360489294,7.611845991123616,240
seed024_pair1_B1_w8,24,2,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.3143874096992864,0.06498581642649769,True,0.5982456360489294,7.474568483558924,219
seed024_pair1_B1_w8,24,2,硬件兼容理想模拟,ideal,SIMULATED,,1024,0.40751490543759095,0.04925400712880475,True,0.4699570123566872,7.003126225566282,194
seed024_pair1_B1_w8,24,2,带噪声模拟：当前噪声,current,SIMULATED,,1024,0.3334272002352948,0.048986576277976916,True,0.5982456360489294,7.375650024558797,211
seed024_pair1_B1_w8,24,2,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.36890267636003093,0.04940208624380318,True,0.5982456360489294,7.209016346812476,210
seed024_pair1_B1_w8,24,2,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.3877999600752469,0.049402358158128996,True,0.5982456360489294,7.111778093486385,198
seed024_pair1_B1_w8,24,2,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.40751490543759095,0.04925400712880475,True,0.4699570123566872,7.003126225566282,194
seed024_pair1_B1_w8,24,2,Baihua 真机,observed,COMPLETED,2608021833416878611,1024,0.1787109375,0.041015625,True,0.5982456360489294,7.18356112315153,214
seed026_pair2_B1_w8,26,1,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.2575010409139946,0.012184499706250178,True,0.9707620277851277,7.5656565918999075,221
seed026_pair2_B1_w8,26,1,硬件兼容理想模拟,ideal,SIMULATED,,1024,0.11573251580554123,0.03479772502113395,True,1.3553087310184537,7.9772544788640225,248
seed026_pair2_B1_w8,26,1,带噪声模拟：当前噪声,current,SIMULATED,,1024,0.11513483186356818,0.0341379909022431,True,1.112728596346841,7.985258195345363,248
seed026_pair2_B1_w8,26,1,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.11551889953524144,0.034462313741406236,True,1.1810480406772115,7.981569206872489,246
seed026_pair2_B1_w8,26,1,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.11564720165472414,0.03462859862335607,True,1.282453317473852,7.979494869398522,249
seed026_pair2_B1_w8,26,1,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.11573251580554123,0.03479772502113395,True,1.3553087310184537,7.9772544788640225,248
seed026_pair2_B1_w8,26,1,Baihua 真机,observed,COMPLETED,2608021833507520897,1024,0.1279296875,0.0283203125,True,1.3553087310184537,7.686334534022031,246
seed026_pair2_B1_w8,26,2,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.13975998935802464,0.02838892673159926,True,0.9707620277851277,7.595486418291088,210
