instance_id,seed,num_customers,num_vehicles,vehicle_capacity,vehicle_pair,pair_rank,block_id,block_size,state_count,baseline_distance,exact_best_distance,best_improvement,has_improvement,improving_state_count,improving_state_ratio,single_bit_local_trap,minimum_required_flips,feasible_state_ratio,capacity_repair_ratio,spearman_qubo_true_distance,true_optimum_qubo_rank,current_bitstring,qubo_best_bitstring,true_best_bitstring
seed005_pair1_B1_w8,5,40,4,31,0-3,1,B1,8,256,119.73723509669436,116.75354209743296,2.9836929992614074,True,89,0.34765625,False,1,0.59375,0.40625,-0.025759356442141477,243,11001111,11000011,11111000
seed005_pair1_B2_w8,5,40,4,31,0-3,1,B2,8,256,119.73723509669436,117.5531887615604,2.1840463351339565,True,85,0.33203125,False,1,0.35546875,0.64453125,0.30391751544975965,197,00001100,00000000,00110011
seed005_pair1_B3_w8,5,40,4,31,0-3,1,B3,8,256,119.73723509669436,117.65400547520748,2.083229621486879,True,113,0.44140625,False,1,0.453125,0.546875,0.15607658934328272,23,11000000,00000000,10001100
seed005_pair2_B1_w8,5,40,4,31,0-1,2,B1,8,256,119.73723509669436,116.29992275081311,3.437312345881253,True,60,0.234375,False,1,0.828125,0.171875,0.38631830610198786,58,00101111,00101111,00111110
seed005_pair2_B2_w8,5,40,4,31,0-1,2,B2,8,256,119.73723509669436,116.88616205403093,2.8510730426634296,True,30,0.1171875,False,1,0.62109375,0.37890625,0.0958901905088749,10,00011001,00011001,10011000
seed005_pair2_B3_w8,5,40,4,31,0-1,2,B3,8,256,119.73723509669436,116.88616205403093,2.8510730426634296,True,63,0.24609375,False,1,0.2734375,0.7265625,0.36025620851453416,6,11000000,11000000,01000100
seed006_pair1_B1_w6,6,50,5,38,3-4,1,B1,6,64,136.1125830881553,132.60107098028118,3.5115121078741254,True,32,0.5,False,1,0.984375,0.015625,0.5748626373626373,13,010000,010111,000111
seed006_pair1_B2_w6,6,50,5,38,3-4,1,B2,6,64,136.1125830881553,136.1125830881553,0.0,False,0,0.0,False,0,0.90625,0.09375,0.32307692307692304,3,001000,001010,001000
seed006_pair1_B3_w6,6,50,5,38,3-4,1,B3,6,64,136.1125830881553,136.1125830881553,0.0,False,0,0.0,False,0,1.0,0.0,0.19500915750915745,15,000000,100110,000000
seed006_pair2_B1_w6,6,50,5,38,2-3,2,B1,6,64,136.1125830881553,136.1125830881553,0.0,False,0,0.0,False,0,0.140625,0.859375,-0.0004578754578754579,16,001111,001001,001111
seed006_pair2_B2_w6,6,50,5,38,2-3,2,B2,6,64,136.1125830881553,133.39203412616945,2.7205489619858554,True,10,0.15625,False,1,0.03125,0.96875,0.55260989010989,38,100100,100100,011100
seed006_pair2_B3_w6,6,50,5,38,2-3,2,B3,6,64,136.1125830881553,136.1125830881553,0.0,False,0,0.0,False,0,0.03125,0.96875,0.6223112596765974,1,100000,100000,100000
seed006_pair1_B1_w8,6,50,5,38,3-4,1,B1,8,256,136.1125830881553,130.33374425617927,5.7788388319760315,True,121,0.47265625,False,1,0.88671875,0.11328125,0.24469915884641788,170,00110000,00100111,11000000
seed006_pair1_B2_w8,6,50,5,38,3-4,1,B2,8,256,136.1125830881553,135.126492706876,0.9860903812792969,True,5,0.01953125,False,1,0.81640625,0.18359375,0.15653262054487432,13,00011100,00010100,00001011
seed006_pair1_B3_w8,6,50,5,38,3-4,1,B3,8,256,136.1125830881553,135.3422394544601,0.7703436336952052,True,5,0.01953125,False,1,0.953125,0.046875,0.2568109263089181,5,11000000,01001001,01001101
seed006_pair2_B1_w8,6,50,5,38,2-3,2,B1,8,256,136.1125830881553,133.25691212112304,2.8556709670322675,True,27,0.10546875,False,1,0.1015625,0.8984375,0.278635700389105,83,10001111,10001001,00011001
